,BMI,Bfat
1,20.56,19.75
2,20.67,21.3
3,21.86,19.88
4,21.88,23.66
5,18.96,17.64
6,21.04,15.58
7,21.69,19.99
8,20.62,22.43
9,22.64,17.95
10,19.44,15.07
11,25.75,28.83
12,21.2,18.08
13,22.03,23.3
14,25.44,17.71
15,22.63,18.77
16,21.86,19.83
17,22.27,25.16
18,21.27,18.04
19,23.47,21.79
20,23.19,22.25
21,23.17,16.25
22,24.54,16.38
23,22.96,19.35
24,19.76,19.2
25,23.36,17.89
26,22.67,12.2
27,24.24,23.7
28,24.21,24.69
29,20.46,16.58
30,20.81,21.47
31,20.17,20.12
32,23.06,17.51
33,24.4,23.7
34,23.97,22.39
35,22.62,20.43
36,19.16,11.29
37,21.15,25.26
38,21.4,19.39
39,21.03,19.63
40,21.77,23.11
41,21.38,16.86
42,21.47,21.32
43,24.45,26.57
44,22.63,17.93
45,22.8,24.97
46,23.58,22.62
47,20.06,15.01
48,23.01,18.14
49,24.64,26.78
50,18.26,17.22
51,24.47,26.5
52,23.99,23.01
53,26.24,30.1
54,20.04,13.93
55,25.72,26.65
56,25.64,35.52
57,19.87,15.59
58,23.35,19.61
59,22.42,14.52
60,20.42,11.47
61,22.13,17.71
62,25.17,18.48
63,23.72,11.22
64,21.28,13.61
65,20.87,12.78
66,19,11.85
67,22.04,13.35
68,20.12,11.77
69,21.35,11.07
70,28.57,21.3
71,26.95,20.1
72,28.13,24.88
73,26.85,19.26
74,25.27,19.51
75,31.93,23.01
76,16.75,8.07
77,19.54,11.05
78,20.42,12.39
79,22.76,15.95
80,20.12,9.91
81,22.35,16.2
82,19.16,9.02
83,20.77,14.26
84,19.37,10.48
85,22.37,11.64
86,17.54,12.16
87,19.06,10.53
88,20.3,10.15
89,20.15,10.74
90,25.36,20.86
91,22.12,19.64
92,21.25,17.07
93,20.53,15.31
94,17.06,11.07
95,18.29,12.92
96,18.37,8.45
97,18.93,10.16
98,17.79,12.55
99,17.05,9.1
100,20.31,13.46
101,22.46,8.47
102,23.88,7.68
103,23.68,6.16
104,23.15,8.56
105,22.32,6.86
106,24.02,9.4
107,23.29,9.17
108,25.11,8.54
109,22.81,9.2
110,26.25,11.72
111,21.38,8.44
112,22.52,7.19
113,26.73,6.46
114,23.57,9
115,25.84,12.61
116,24.06,9.03
117,23.85,6.96
118,25.09,10.05
119,23.84,9.56
120,25.31,9.36
121,19.69,10.81
122,26.07,8.61
123,25.5,9.53
124,23.69,7.42
125,26.79,9.79
126,25.61,8.97
127,25.06,7.49
128,24.93,11.95
129,22.96,7.35
130,20.69,7.16
131,23.97,8.77
132,24.64,9.56
133,25.93,14.53
134,23.69,8.51
135,25.38,10.64
136,22.68,7.06
137,23.36,8.87
138,22.44,7.88
139,22.57,9.2
140,19.81,7.19
141,21.19,6.06
142,20.39,5.63
143,21.12,6.59
144,21.89,9.5
145,29.97,13.97
146,27.39,11.66
147,23.11,6.43
148,21.75,6.99
149,20.89,6
150,22.83,6.56
151,22.02,6.03
152,20.07,6.33
153,20.15,6.82
154,21.24,6.2
155,19.63,5.93
156,23.58,5.8
157,21.65,6.56
158,25.17,6.76
159,23.25,7.22
160,32.52,8.51
161,22.59,7.72
162,30.18,19.94
163,34.42,13.91
164,21.86,6.1
165,23.99,7.52
166,24.81,9.56
167,21.68,6.06
168,21.04,7.35
169,23.12,6
170,20.76,6.92
171,23.13,6.33
172,22.35,5.9
173,22.28,8.84
174,23.55,8.94
175,19.85,6.53
176,26.51,9.4
177,24.78,8.18
178,33.73,17.41
179,30.18,18.08
180,23.31,9.86
181,24.51,7.29
182,25.37,18.72
183,23.67,10.12
184,24.28,19.17
185,25.82,17.24
186,21.93,9.89
187,23.38,13.06
188,23.07,8.84
189,25.21,8.87
190,23.25,14.69
191,22.93,8.64
192,26.86,14.98
193,21.26,7.82
194,25.43,8.97
195,24.54,11.63
196,27.79,13.49
197,23.58,10.25
198,27.56,11.79
199,23.76,10.05
200,22.01,8.51
201,22.34,11.5
202,21.07,6.26
